2025-09-21 13:03:15 | src.data.data_processor | WARNING  | data_processor.py:282 | Insufficient data for SP2: 215 days (minimum: 252)
2025-09-21 13:03:15 | src.data.data_processor | WARNING  | data_processor.py:282 | Insufficient data for STW: 33 days (minimum: 252)
2025-09-21 13:03:15 | src.data.data_processor | WARNING  | data_processor.py:282 | Insufficient data for SVH: 15 days (minimum: 252)
2025-09-21 13:03:15 | src.data.data_processor | WARNING  | data_processor.py:282 | Insufficient data for TAW: 97 days (minimum: 252)
2025-09-21 13:03:15 | src.data.data_processor | WARNING  | data_processor.py:282 | Insufficient data for TBR: 226 days (minimum: 252)
2025-09-21 13:03:15 | src.data.data_processor | WARNING  | data_processor.py:282 | Insufficient data for THN: 1 days (minimum: 252)
2025-09-21 13:03:15 | src.data.data_processor | WARNING  | data_processor.py:282 | Insufficient data for THW: 244 days (minimum: 252)
2025-09-21 13:03:16 | src.data.data_processor | WARNING  | data_processor.py:282 | Insufficient data for TMW: 64 days (minimum: 252)
2025-09-21 13:03:16 | src.data.data_processor | WARNING  | data_processor.py:282 | Insufficient data for TOW: 203 days (minimum: 252)
2025-09-21 13:03:16 | src.data.data_processor | WARNING  | data_processor.py:282 | Insufficient data for TQN: 37 days (minimum: 252)
2025-09-21 13:03:16 | src.data.data_processor | WARNING  | data_processor.py:282 | Insufficient data for TQW: 0 days (minimum: 252)
2025-09-21 13:03:16 | src.data.data_processor | WARNING  | data_processor.py:282 | Insufficient data for TTS: 209 days (minimum: 252)
2025-09-21 13:03:16 | src.data.data_processor | WARNING  | data_processor.py:282 | Insufficient data for UPC: 234 days (minimum: 252)
2025-09-21 13:03:16 | src.data.data_processor | WARNING  | data_processor.py:282 | Insufficient data for V11: 232 days (minimum: 252)
2025-09-21 13:03:16 | src.data.data_processor | WARNING  | data_processor.py:282 | Insufficient data for VBG: 4 days (minimum: 252)
2025-09-21 13:03:16 | src.data.data_processor | WARNING  | data_processor.py:282 | Insufficient data for VLW: 184 days (minimum: 252)
2025-09-21 13:03:16 | src.data.data_processor | WARNING  | data_processor.py:282 | Insufficient data for VPW: 3 days (minimum: 252)
2025-09-21 13:03:16 | src.data.data_processor | WARNING  | data_processor.py:282 | Insufficient data for VXT: 126 days (minimum: 252)
2025-09-21 13:03:16 | src.data.data_processor | WARNING  | data_processor.py:282 | Insufficient data for XDH: 117 days (minimum: 252)
2025-09-21 13:03:16 | src.data.data_processor | INFO     | data_processor.py:210 | Successfully loaded data for 391 stocks
2025-09-21 13:03:16 | src.data.data_processor | INFO     | data_processor.py:462 | Starting feature engineering for all stocks...
2025-09-21 13:03:17 | src.data.data_processor | ERROR    | data_processor.py:88 | No common trading dates found across stocks. Check for inconsistent or missing dates.
2025-09-21 13:03:18 | src.data.data_processor | INFO     | data_processor.py:111 | All stocks synchronized to common trading calendar.
2025-09-21 13:03:18 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:18 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:18 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:18 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:18 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:18 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:18 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:18 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:18 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:18 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:18 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:19 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:19 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:19 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:19 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:19 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:19 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:19 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:19 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:19 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:19 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:19 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:19 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:19 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:19 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:19 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:19 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:19 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:19 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:19 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:19 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:19 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:20 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:20 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:20 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:20 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:20 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:20 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:20 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:20 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:20 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:20 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
